time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
1.150000000000000133e+00,1.996893921171635000e+01,4.996159329230711599e+00,4.996159329231225854e+00,-1.977356953654981209e-01,-3.737100294128218453e-02,-3.737100293738038898e-02
1.159999999999999920e+00,1.996852653410785194e+01,4.996076767750420089e+00,4.996076767750941450e+00,-1.986711392905040618e-01,-3.775620405725502865e-02,-3.775620405335939483e-02
1.169999999999999929e+00,1.996811385649935389e+01,4.995994206270127691e+00,4.995994206270657045e+00,-1.996065832155100028e-01,-3.814140517322787971e-02,-3.814140516933840763e-02
1.179999999999999938e+00,1.996770117889085583e+01,4.995911644789836181e+00,4.995911644790372641e+00,-2.005420271405159716e-01,-3.852660628920073077e-02,-3.852660628531742043e-02
1.189999999999999947e+00,1.996728850128235777e+01,4.995829083309543783e+00,4.995829083310088237e+00,-2.014774710655219125e-01,-3.891180740517358183e-02,-3.891180740129643323e-02
1.199999999999999956e+00,1.996687582367385971e+01,4.995746521829252274e+00,4.995746521829804720e+00,-2.024129149905278813e-01,-3.929700852114643289e-02,-3.929700851727544603e-02
1.209999999999999964e+00,1.996646314606536166e+01,4.995663960348960764e+00,4.995663960349520316e+00,-2.033483589155338223e-01,-3.968220963711928395e-02,-3.968220963325445882e-02
1.219999999999999973e+00,1.996605046845686360e+01,4.995581398868668366e+00,4.995581398869235912e+00,-2.042838028405397632e-01,-4.006741075309213501e-02,-4.006741074923347856e-02
1.229999999999999982e+00,1.996563779084836554e+01,4.995498837388376856e+00,4.995498837388951507e+00,-2.052192467655457320e-01,-4.045261186906498607e-02,-4.045261186521249136e-02
1.239999999999999991e+00,1.996522511323986748e+01,4.995416275908084458e+00,4.995416275908667103e+00,-2.061546906905516729e-01,-4.083781298503783713e-02,-4.083781298119150416e-02
1.250000000000000000e+00,1.996481243563136942e+01,4.995333714427792948e+00,4.995333714428382699e+00,-2.070901346155576139e-01,-4.122301410101068819e-02,-4.122301409717051696e-02
1.260000000000000009e+00,1.996439975802287137e+01,4.995251152947500550e+00,4.995251152948098294e+00,-2.080255785405635827e-01,-4.160821521698354619e-02,-4.160821521314952975e-02
1.270000000000000018e+00,1.996398708041437331e+01,4.995168591467209041e+00,4.995168591467813890e+00,-2.089610224655695236e-01,-4.199341633295639031e-02,-4.199341632912854949e-02
1.280000000000000027e+00,1.996357440280587525e+01,4.995086029986916643e+00,4.995086029987530374e+00,-2.098964663905754646e-01,-4.237861744892924831e-02,-4.237861744510755535e-02
1.290000000000000036e+00,1.996316172519737719e+01,4.995003468506625133e+00,4.995003468507245969e+00,-2.108319103155814334e-01,-4.276381856490209243e-02,-4.276381856108657509e-02
