time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0.71,19.98497452558073,4.998591185226585,4.998591185226813,-0.16995406678884792,-0.019394232659076596,-0.01939423265621855,-0.2415484110366113,-0.21224339699474137,-0.21224339697150765
0.72,19.984632976558046,4.998548866226525,4.998548866226757,-0.17044119458017046,-0.01981388114771873,-0.019813881144822777,-0.24242573692757194,-0.21210173651592698,-0.2121017364935838
0.73,19.984291427535364,4.998506547226463,4.998506547226702,-0.170928322371493,-0.02023352963636086,-0.02023352963342701,-0.24330306281853256,-0.2119600760371126,-0.21196007601565992
0.74,19.983949878512682,4.9984642282264025,4.998464228226647,-0.17141545016281554,-0.020653178125002995,-0.02065317812203124,-0.24418038870949318,-0.2118184155582982,-0.21181841553773606
0.75,19.98360832949,4.998421909226341,4.998421909226592,-0.17190257795413807,-0.021072826613645127,-0.02107282661063547,-0.24505771460045384,-0.2116767550794838,-0.21167675505981218
0.76,19.98326678046732,4.99837959022628,4.998379590226537,-0.17238970574546064,-0.02149247510228726,-0.021492475099239697,-0.24593504049141446,-0.2115350946006694,-0.21153509458188832
0.77,19.98292523144464,4.998337271226219,4.9983372712264815,-0.17287683353678318,-0.02191212359092939,-0.02191212358784393,-0.24681236638237508,-0.21139343412185502,-0.21139343410396447
0.78,19.982583682421957,4.998294952226158,4.998294952226426,-0.17336396132810572,-0.022331772079571523,-0.02233177207644816,-0.24768969227333573,-0.21125177364304062,-0.21125177362604058
0.79,19.982242133399275,4.998252633226096,4.998252633226372,-0.17385108911942826,-0.022751420568213655,-0.022751420565052388,-0.24856701816429635,-0.21111011316422623,-0.21111011314811673
0.8,19.981900584376593,4.998210314226036,4.998210314226316,-0.1743382169107508,-0.023171069056855786,-0.02317106905365662,-0.24944434405525698,-0.21096845268541184,-0.21096845267019285
0.81,19.981559035353914,4.998167995225974,4.998167995226261,-0.17482534470207334,-0.023590717545497922,-0.02359071754226085,-0.25032166994621763,-0.21082679220659745,-0.210826792192269
0.8200000000000001,19.981217486331232,4.998125676225913,4.998125676226206,-0.17531247249339588,-0.02401036603414005,-0.02401036603086508,-0.25119899583717825,-0.21068513172778305,-0.2106851317143451
0.8300000000000001,19.98087593730855,4.998083357225852,4.998083357226151,-0.17579960028471842,-0.024430014522782185,-0.024430014519469308,-0.2520763217281389,-0.21054347124896866,-0.21054347123642125
0.84,19.980534388285868,4.998041038225791,4.998041038226096,-0.17628672807604095,-0.024849663011424314,-0.024849663008073536,-0.2529536476190995,-0.21040181077015427,-0.2104018107584974
0.85,19.980192839263186,4.99799871922573,4.99799871922604,-0.1767738558673635,-0.025269311500066442,-0.025269311496677764,-0.2538309735100601,-0.21026015029133988,-0.21026015028057352
0.86,19.979851290240504,4.997956400225669,4.997956400225985,-0.17726098365868606,-0.025688959988708578,-0.025688959985281996,-0.2547082994010208,-0.21011848981252548,-0.21011848980264966
0.87,19.979509741217825,4.997914081225607,4.997914081225931,-0.1777481114500086,-0.026108608477350706,-0.026108608473886227,-0.2555856252919814,-0.2099768293337111,-0.20997682932472578
0.88,19.979168192195143,4.997871762225547,4.997871762225875,-0.17823523924133114,-0.02652825696599284,-0.026528256962490455,-0.25646295118294204,-0.2098351688548967,-0.20983516884680192
0.89,19.97882664317246,4.997829443225485,4.99782944322582,-0.17872236703265368,-0.02694790545463497,-0.026947905451094684,-0.25734027707390267,-0.2096935083760823,-0.20969350836887807
0.9,19.97848509414978,4.997787124225424,4.9977871242257645,-0.17920949482397622,-0.027367553943277105,-0.02736755393969892,-0.2582176029648633,-0.20955184789726794,-0.20955184789095418
